CategoryId,CategoryName
73,Sporting Goods
7,Hockey
35,Golf Gloves
34,Golf Bags & Carts
33,Golf Shoes
32,Golf Apparel
31,Women's Golf Clubs
30,Men's Golf Clubs
74,Toys
48,Water Sports
64,Computers
10,Strength Training
61,CDs 
16,As Seen on  TV!
2,Soccer
70,Men's Clothing
60,Baby 
68,Garden
36,Golf Balls
46,Indoor/Outdoor Games
4,Basketball
63,Children's Clothing
59,Books 
11,Fitness Accessories
65,Consumer Electronics
62,Cameras 
72,Pet Supplies
69,Health and Beauty
76,Women's Clothing
66,Crafts
75,Video Games
67,DVDs
71,Music
18,Men's Footwear
43,Camping & Hiking
44,Hunting & Shooting
6,Tennis & Racquet
5,Lacrosse
13,Electronics
38,Kids' Golf Clubs
3,Baseball & Softball
41,Trade-In
40,Accessories
37,Electronics
24,Women's Apparel
12,Boxing & MMA
9,Cardio Equipment
17,Cleats
29,Shop By Sport
26,Girls' Apparel
45,Fishing
